dataset,C_DC_5,C_SC_9,bucket,n,min_value,max_value,share
Ahealth,4,6,< 0.5 (non-zero),264,0.0057531,0.499140978,14.7
Ahealth,4,6,0.5 to < Q3,252,0.502421796,0.777445734,14
Ahealth,4,7,Top 25% (>= Q3),34802,0.779049218,5.013631821,22.6
Ahealth,4,7,Zero (== 0),72115,0,0,46.7
Ahealth,4,7,< 0.5 (non-zero),33638,1.0252E-05,0.499997735,21.8
Ahealth,4,7,0.5 to < Q3,13730,0.500041246,0.778994739,8.9
Ahealth,4,8,Top 25% (>= Q3),1752,0.779101133,4.722124577,23
Ahealth,4,8,Zero (== 0),2139,0,0,28.1
Ahealth,4,8,< 0.5 (non-zero),3139,0.000354707,0.49879986,41.2
Ahealth,4,8,0.5 to < Q3,586,0.500370264,0.778699636,7.7
Ahealth,5,5,Top 25% (>= Q3),21,1.130898356,2.152185917,87.5
Ahealth,5,5,Zero (== 0),3,0,0,12.5
Ahealth,5,5,< 0.5 (non-zero),0,,,0
Ahealth,5,5,0.5 to < Q3,0,,,0
Ahealth,5,6,Top 25% (>= Q3),12,0.779440999,0.836580992,15.8
Ahealth,5,6,Zero (== 0),24,0,0,31.6
Ahealth,5,6,< 0.5 (non-zero),10,0.03676939,0.460851312,13.2
Ahealth,5,6,0.5 to < Q3,30,0.540139437,0.778246164,39.4
Ahealth,5,7,Top 25% (>= Q3),9378,0.779040933,3.997558117,30.3
Ahealth,5,7,Zero (== 0),12548,0,0,40.6
Ahealth,5,7,< 0.5 (non-zero),6410,4.65512E-05,0.499723613,20.7
Ahealth,5,7,0.5 to < Q3,2574,0.500189841,0.778779387,8.4
Ahealth,5,8,Top 25% (>= Q3),4514,0.779277086,5.340192795,52.8
Ahealth,5,8,Zero (== 0),1234,0,0,14.4
Ahealth,5,8,< 0.5 (non-zero),2191,7.47442E-05,0.499235392,25.6
Ahealth,5,8,0.5 to < Q3,603,0.500453472,0.777124941,7.2
Ahealth,5,9,Top 25% (>= Q3),119206,0.779041231,7.082971573,33.8
Ahealth,5,9,Zero (== 0),70096,0,0,19.9
Ahealth,5,9,< 0.5 (non-zero),108879,2.74181E-06,0.499999583,30.9
Ahealth,5,9,0.5 to < Q3,54323,0.500003219,0.779034555,15.4
Arelig,1,1,Top 25% (>= Q3),140,0.705496252,1.449399352,3.7
Arelig,1,1,Zero (== 0),3075,0,0,81.9
Arelig,1,1,< 0.5 (non-zero),447,0.00172478,0.499885857,11.9
Arelig,1,1,0.5 to < Q3,93,0.500078082,0.704348505,2.5
Arelig,1,2,Top 25% (>= Q3),1420,0.705063343,2.105810881,6.9
Arelig,1,2,Zero (== 0),14052,0,0,68.6
Arelig,1,2,< 0.5 (non-zero),3955,4.94123E-05,0.499927044,19.3
Arelig,1,2,0.5 to < Q3,1057,0.500017285,0.704664469,5.2
Arelig,1,3,Top 25% (>= Q3),1994,0.705539107,3.577669859,15.1
Arelig,1,3,Zero (== 0),6973,0,0,52.9
Arelig,1,3,< 0.5 (non-zero),3132,0.000398815,0.499721408,23.8
Arelig,1,3,0.5 to < Q3,1081,0.500180662,0.704704881,8.2
Arelig,1,4,Top 25% (>= Q3),191,0.705231249,1.426252365,5.3
Arelig,1,4,Zero (== 0),2864,0,0,80.1
Arelig,1,4,< 0.5 (non-zero),493,0.000135005,0.498318315,13.8
Arelig,1,4,0.5 to < Q3,26,0.501245141,0.699507833,0.8
Arelig,1,5,Top 25% (>= Q3),1050,0.705209553,3.874903202,17.3
Arelig,1,5,Zero (== 0),3729,0,0,61.4
Arelig,1,5,< 0.5 (non-zero),991,0.000262499,0.499465108,16.3
Arelig,1,5,0.5 to < Q3,304,0.500264883,0.70468545,5
Arelig,1,6,Top 25% (>= Q3),999,0.705204129,2,7.5
Arelig,1,6,Zero (== 0),8861,0,0,66.4
Arelig,1,6,< 0.5 (non-zero),2598,0.00094074,0.499967337,19.5
Arelig,1,6,0.5 to < Q3,885,0.500241756,0.70481652,6.6
Arelig,2,1,Top 25% (>= Q3),8518,0.705111504,3.258927822,23.8
Arelig,2,1,Zero (== 0),11829,0,0,33
Arelig,2,1,< 0.5 (non-zero),10124,1.69873E-05,0.499937952,28.3
Arelig,2,1,0.5 to < Q3,5352,0.500071347,0.705034971,14.9
Arelig,2,2,Top 25% (>= Q3),4227,0.705206394,2.566774607,26.8
Arelig,2,2,Zero (== 0),7745,0,0,49.1
Arelig,2,2,< 0.5 (non-zero),2101,0.000444412,0.499892533,13.3
